FirstTerm,NewTerm,,
Age,Age,,
Attrition,Attrition,,
BusinessTravel,BusTravel,,
DailyRate,DailyRate,,
Department,Department,,
DistanceFromHome,HomeDist,,
Education,Education,,
EducationField,EducField,,
EmployeeCount,EmployeeCnt,,
EmployeeNumber,EmployeeNum,,
EnvironmentSatisfaction,EnviroSat,,
Gender,Gender,,
HourlyRate,HourlyRate,,
JobInvolvement,JobInvolv,,
JobLevel,JobLevel,,
JobRole,JobRole,,
JobSatisfaction,JobSat,,
MaritalStatus,MaritalStat,,
MonthlyIncome,MthlyInc,,
MonthlyRate,MonthlyRate,,
NumCompaniesWorked,NumCompWrk,,
Over18,Over18,,
OverTime,OverTime,,
PercentSalaryHike,PercSalInc,,
PerformanceRating,PerfRating,,
RelationshipSatisfaction,RelationSat,,
StandardHours,StndHrs,,
StockOptionLevel,StkOptLevel,,
TotalWorkingYears,TotWrkYrs,,
TrainingTimesLastYear,TrnTmsLstYr,,
WorkLifeBalance,WrkLifeBal,,
YearsAtCompany,YrsAtComp,,
YearsInCurrentRole,YrsCurrRole,,
YearsSinceLastPromotion,YrsLstProm,,
YearsWithCurrManager,YrsCurrMgr,,
,LifeSat,,    
